VCF0013  {0.0: '0. No Post-election interview data', 1.0: '1. Post-election interview data present'}
VCF9073  {0.0: "0. R self-rating is DK or 'haven't thought much", 1.0: '1. Greatly decrease defense spending', 7.0: '7. Greatly increase defense spending', 8.0: '8. DK', 9.0: '9. NA; short-form or Spanish language IW (1992)'}
VCF9074  {0.0: "0. R self-rating is DK or 'haven't thought much about it'", 1.0: '1. Cooperate more/try to get along with Russia', 7.0: '7. Get much tougher/big mistake to try to get along', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF9075  {0.0: "0. R self-rating is DK or 'haven't thought much", 1.0: '1. Women and men should have an equal role', 7.0: "7. Women's place is in the home", 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF9076  {0.0: "0. R self-rating is DK or 'haven't thought much", 1.0: '1. Government should help minority blacks/minorities', 7.0: '7. Blacks/minorities should help themselves', 8.0: '8. DK', 9.0: '9. NA; no Post IW; telephone IW (2000)'}
VCF9077  {0.0: "0. R self-rating is DK or 'haven't thought much", 1.0: '1. Government insurance plan', 7.0: '7. Private insurance plan', 8.0: '8. DK', 9.0: '9. NA; Form II (1972)'}
VCF9078  {0.0: "0. R self-rating is DK or 'haven't thought much about", 1.0: '1. Government should provide many fewer services: Reduce', 7.0: '7. Government should provide many more services:', 8.0: '8. DK', 9.0: '9. NA; short-form or Spanish language IW (1992);'}
VCF9079  {0.0: "0. R self-rating is DK or 'haven't thought much", 1.0: '1. Government see to job and good standard of living', 7.0: '7. Government let each person get ahead on his own', 8.0: "8. DK; haven't thought much about it", 9.0: '9. NA; no Post IW; form II (1972); short-form or'}
VCF9080  {0.0: "0. DK/Haven't thought about self-rating on same 7pt", 1.0: '1. Extremely liberal', 2.0: '2. Liberal', 3.0: '3. Slightly liberal', 4.0: '4. Moderate; middle of the road', 5.0: '5. Slightly conservative', 6.0: '6. Conservative', 7.0: '7. Extremely conservative', 8.0: '8. DK', 9.0: '9. NA; no Post IW; forms III, IV (1972); R'}
VCF9081  {0.0: "0. R self-rating is DK or 'haven't thought much", 1.0: '1. Greatly decrease defense spending', 7.0: '7. Greatly increase defense spending', 8.0: '8. DK', 9.0: '9. NA; version NEW (2008); short-form or Spanish'}
VCF9082  {1.0: '1. Try to cooperate more with Russia (1984,1988)/', 7.0: '7. Get much tougher with Russia (1984,1988)/Big', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF9083  {0.0: "0. R self-rating is DK or 'haven't thought much", 1.0: '1. Women and men should have an equal role', 7.0: "7. Women's place is in the home", 8.0: '8. DK', 9.0: '9. NA; version NEW (2008); no Post IW; telephone IW'}
VCF9084  {0.0: "0. R self-rating is DK or 'haven't thought much", 1.0: '1. Government should help Blacks/minorities', 7.0: '7. Blacks/minorities should help themselves', 8.0: '8. DK', 9.0: '9. NA; no Post IW; telephone IW (2000)'}
VCF9085  {0.0: "0. 'Haven't thought much about it' for Democratic", 1.0: '1. Government insurance plan', 7.0: '7. Private insurance plan', 8.0: '8. DK', 9.0: '9. NA; version NEW (2008); Form II (1972)'}
VCF9086  {0.0: "0. R self-rating is DK or 'haven't thought much about", 1.0: "1. Gov't provide many fewer servcies, reduce spending", 7.0: "7. Gov't provide many more services, increase spending", 8.0: '8. DK', 9.0: '9. NA; version NEW (2008); short-form or Spanish'}
VCF9087  {0.0: "0. R self-rating is DK or 'Haven't thought much", 1.0: '1. Government see to job and good standard of living', 7.0: '7. Government let each person get ahead on own', 8.0: '8. DK', 9.0: '9. NA; version NEW (2008); Form II (1972); no Post IW;'}
VCF9088  {0.0: '0. R did not rate self on same 7pt scale (see above)', 1.0: '1. Extremely liberal', 2.0: '2. Liberal', 3.0: '3. Slightly liberal', 4.0: '4. Moderate; middle of the road', 5.0: '5. Slightly conservative', 6.0: '6. Conservative', 7.0: '7. Extremely conservative', 8.0: '8. DK', 9.0: '9. NA; mail questionnaire; no Post IW; R'}
VCF9089  {0.0: "0. R self-rating is DK or 'Haven't thought much", 1.0: '1. Greatly decrease defense spending', 7.0: '7. Greatly increase defense spending', 8.0: '8. DK', 9.0: '9. NA; version OLD (2008); short-form or Spanish'}
VCF9090  {0.0: "0. R self-rating is DK or 'haven't thought much about", 1.0: '1. Try to cooperate more with Russia (1984,1988)/', 7.0: '7. Get much tougher with Russia (1984,1988)/Big', 8.0: '8. DK', 9.0: '9. NA; no Post IW;'}
VCF9091  {0.0: "0. R self-rating is DK or 'Haven't thought much", 1.0: '1. Women and men should have an equal role', 7.0: "7. Women's palce is in the home", 8.0: '8. DK', 9.0: '9. NA; no Post IW; version NEW (2008) telephone IW'}
VCF9092  {0.0: "0. R self-rating is DK or 'Haven't thought much", 1.0: '1. Government should help Blacks/minorities', 7.0: '7. Blacks/minorities should help themselves', 8.0: '8. DK', 9.0: '9. NA; no Post IW; telephone IW (2000)'}
VCF9093  {0.0: "0. 'Haven't thought much about it' for Republican", 1.0: '1. Government insurance plan', 7.0: '7. Private insurance plan', 8.0: '8. DK', 9.0: '9. NA; Form II (1972); version NEW (2008)'}
VCF9094  {0.0: "0. R self-rating is DK or 'haven't thought much about it'", 1.0: "1. Gov't provide many fewer services, reduce spending", 7.0: "7. Gov't provide many more services, increase spending", 8.0: '8. DK', 9.0: '9. NA; version NEW (2008); short-form or Spanish'}
VCF9095  {0.0: "0. R self-rating is DK or 'haven't thought much about it'", 1.0: '1. Government see to job and good standard of living', 7.0: '7. Government let each person get ahead on own', 8.0: '8. DK', 9.0: '9. NA; version NEW (2008); Form II (1972); no Post IW;'}
VCF9096  {0.0: '0. R did not rate self on same 7pt scale (see above)', 1.0: '1. Extremely liberal', 2.0: '2. Liberal', 3.0: '3. Slightly liberal', 4.0: '4. Moderate; middle of the road', 5.0: '5. Slightly conservative', 6.0: '6. Conservative', 7.0: '7. Extremely conservative', 8.0: '8. DK', 9.0: '9. NA; mail questionnaire; no Post IW; R'}
VCF9097  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Women and men should have an equal role', 7.0: "7. Women's place is in the home", 8.0: "8. DK/Don't Recognize (incl. no recognition on", 9.0: '9. NA; no Post IW'}
VCF9098  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Government should help Blacks/minorities', 7.0: '7. Blacks/minorities should help themselves', 8.0: "8. DK/Don't Recognize", 9.0: '9. NA; no Post IW'}
VCF9099  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: "1. Gov't provide many fewer services, reduce spending", 7.0: "7. Gov't provide many more services, increase spending", 8.0: "8. DK/Don't Recognize (incl. no recognition on", 9.0: '9. NA; telephone (1984); no Post IW; telephone'}
VCF9100  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Government see to job and good standard of living', 7.0: '7. Government let each person get ahead on own', 8.0: "8. DK/Don't Recognize (incl. no recognition on", 9.0: '9. NA; telephone (1984); no Post IW'}
VCF9101  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Extremely liberal', 2.0: '2. Liberal', 3.0: '3. Slightly liberal', 4.0: '4. Moderate; middle of the road', 5.0: '5. Slightly conservative', 6.0: '6. Conservative', 7.0: '7. Extremely conservative', 8.0: "8. DK/Don't Recognize (incl. no recognition on", 9.0: '9. NA; no Post IW (1980,2000); telephone IW (2000)'}
VCF9102  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Women and men should have an equal role', 7.0: "7. Women's place is in the home", 8.0: "8. DK/Don't Recognize (incl. no recognition on", 9.0: '9. NA; no Post IW'}
VCF9103  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Government should help Blacks/minorities', 7.0: '7. Blacks/minorities should help themselves', 8.0: "8. DK/Don't Recognize", 9.0: '9. NA; no Post IW'}
VCF9104  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: "1. Gov't provide many fewer services, reduce spending", 7.0: "7. Gov't provide many more services, increase spending", 8.0: "8. DK/Don't Recognize (incl. no recognition on", 9.0: '9. NA; telephone IW (1984,2000); no Post IW'}
VCF9105  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Government see to job and good standard of living', 7.0: '7. Government let each person get ahead on own', 8.0: "8. DK/Don't Recognize (incl. no recognition on", 9.0: '9. NA; telephone IW (1984); no Post IW'}
VCF9106  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Extremely liberal', 2.0: '2. Liberal', 3.0: '3. Slightly liberal', 4.0: '4. Moderate; middle of the road', 5.0: '5. Slightly conservative', 6.0: '6. Conservative', 7.0: '7. Extremely conservative', 8.0: "8. DK/Don't Recognize (incl. no recognition on", 9.0: '9. NA; no Post IW; R selected for branching'}
VCF9107  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Women and men should have an equal role', 7.0: "7. Women's place is in the home", 8.0: "8. DK/Don't Recognize", 9.0: '9. NA; no Post IW'}
VCF9108  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Government should help Blacks/minorities', 7.0: '7. Blacks/minorities should help themselves', 8.0: "8. DK/Don't Recognize", 9.0: '9. NA; no Post IW'}
VCF9109  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Government should provide many fewer services: reduce', 7.0: '7. Government should provide many more services: increase', 8.0: "8. DK/Don't Recognize", 9.0: '9. NA; telephone IW (1984,2000); no Post IW'}
VCF9110  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Government see to job and good standard of living', 7.0: '7. Government let each person get ahead on own', 8.0: "8. DK/Don't Recognize", 9.0: '9. NA; telephone (1984); no Post IW'}
VCF9111  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Extremely liberal', 2.0: '2. Liberal', 3.0: '3. Slightly liberal', 4.0: '4. Moderate; middle of the road', 5.0: '5. Slightly conservative', 6.0: '6. Conservative', 7.0: '7. Extremely conservative', 8.0: "8. DK/Don't Recognize", 9.0: '9. NA; no Post IW; R selected for branching'}
VCF9112  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Women and men should have an equal role', 7.0: "7. Women's place is in the home", 8.0: "8. DK/Don't Recognize", 9.0: '9. NA; no Post IW'}
VCF9113  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Government should help Blacks/minorities', 7.0: '7. Blacks/minorities should help themselves', 8.0: "8. DK/Don't Recognize", 9.0: '9. NA; no Post IW'}
VCF9114  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: "1. Gov't provide many fewer services, reduce spending", 7.0: "7. Gov't provide many more services, increase spending", 8.0: "8. DK/Don't Recognize", 9.0: '9. NA; telephone IW (1984,2000); no Post IW'}
VCF9115  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Government see to job and good standard of living', 7.0: '7. Government let each person get ahead on own', 8.0: "8. DK/Don't Recognize", 9.0: '9. NA;telephone(1984); no Post IW'}
VCF9116  {0.0: "0. R self-rating was DK or 'haven't thought much about", 1.0: '1. Extremely liberal', 2.0: '2. Liberal', 3.0: '3. Slightly liberal', 4.0: '4. Moderate; middle of the road', 5.0: '5. Slightly conservative', 6.0: '6. Conservative', 7.0: '7. Extremely conservative', 8.0: "8. DK/Don't Recognize", 9.0: '9. NA; no Post IW; R selected for branching'}
VCF9117  {0.0: "0. R self-rating was DK/'haven't thought much about it'", 1.0: '1. Try to cooperate more with Russia (1984,1988)/', 7.0: '7. Get much tougher with Russia (1984,1988)/Big', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF9118  {0.0: "0. R self-rating was DK/'haven't thought much about it'", 1.0: '1. Greatly decrease defense spending', 7.0: '7. Greatly increase defense spending', 8.0: '8. DK', 9.0: '9. NA; short-form or Spanish language IW (1992)'}
VCF9119  {0.0: "0. R self-rating was DK/'haven't thought much about it'", 1.0: '1. Government should help blacks (1988a)/minorities', 7.0: '7. Blacks (1988a)/Minorities (1988b)/Minority groups', 8.0: '8. DK', 9.0: '9. NA; no Post IW'}
VCF9120  {0.0: "0. R self-rating was DK/'haven't thought much about it'", 1.0: "1. Gov't provide many fewer services, reduce spending a", 7.0: "7. Gov't provide many more services, increase spending", 8.0: '8. DK', 9.0: '9. NA; short-form or Spanish language IW (1992)'}
VCF9121  {0.0: "0. R self-rating was DK/'haven't thought much about it'", 1.0: '1. Government see to job and good standard of living', 7.0: '7. Government let each person get ahead on own', 8.0: '8. DK', 9.0: '9. NA; no Post IW; short-form or Spanish language'}
VCF9122  {1.0: '1. One politically eligible adult', 7.0: '7. Seven or more politically eligible adults', 9.0: '9. NA; Panel (1992,1996)'}
VCF9123  {99.0: '99. NA'}
VCF9124  {99.0: '99. NA'}
VCF9125  {1.0: '1. Yes', 5.0: '5. No', 9.0: '9. NA; no Post IW'}
VCF9131  {1.0: '1. Less government the better', 2.0: '2. More things government should be doing', 8.0: '8. DK; both, depends (1990,1992)', 9.0: '9. NA; Form B (1990); no Post IW'}
VCF9132  {1.0: '1. Strong government', 2.0: '2. Free market', 8.0: '8. DK; both, depends (1990,1992)', 9.0: '9. NA; Form B (1990); no Post IW'}
VCF9133  {1.0: '1. Gotten involved in things', 2.0: '2. Problems we face are bigger', 8.0: '8. DK; both, depends (1990,1992)', 9.0: '9. NA; Form B (1990); no Post IW'}
VCF9134  {1.0: '1. Cooperative', 2.0: '2. Self-reliant', 8.0: '8. DK; both, depends (1990)', 9.0: '9. NA; Form B (1990); no Post IW'}
VCF9149  {0.0: '000. Records not checked (1984,1986 only)', 998.0: '998. R self-report registered outside of area, attempt'}
registration_status  {0.0: '0. no Post IW (no self-report of registration)', 1.0: '1. Yes, implicit (R self-report voted)', 2.0: '2. Yes, explicit', 3.0: '3. No, not registered; DK; NA; etc.'}
turnout_self_report  {0.0: '0. no Post IW (no self-report of vote)', 1.0: '1. Yes, voted', 5.0: '5. No, did not vote', 8.0: '8. DK; NA; refused', 9.0: '9. 1976 non-Panel Rs'}
VCF9152  {0.0: '0. 1976 non-Panel Rs', 1.0: '1. Yes, attempted', 2.0: '2. No: R says is not registered (1984-1990);', 3.0: '3. No: No respondent named and/or insufficient address', 4.0: '4. No: Same-day registration (1964,1980)', 5.0: '5. No: Records not sent out due to: Office error (1980);', 7.0: '7. No: Office refuses all access to registration records'}
VCF9153  {0.0: '0. Office not identified (0 in VCF9149: 1984,1986 only);', 1.0: '1. Office records appear to be adequate, no information', 2.0: '2. Some office voting records not accessible*', 3.0: "3. R's name unknown and/or insufficient address and/or", 5.0: '5. No office voting records accessible***', 8.0: '8. DK (1980: 0,9 in orig. dataset var 1207: 27 cases', 9.0: '9. Office refused (7 in VCF9152)'}
registration_validated  {0.0: '0. 3,7 in VCF9152 (all years); 2 in VCF9152 (1984', 1.0: '1. Yes, a registration record was found that matches', 2.0: '2. A registration record was found but it is inactive/', 5.0: '5. No registration record was found', 8.0: '8. DK (1980 ONLY: code 9 in original var 1207, 31 cases', 9.0: '9. 1976 non-Panel Rs'}
vote_validated  {0.0: '0. 3,7 in VCF9152 (all years); 2 in VCF9152 (1984', 1.0: '1. Yes', 3.0: '3. Registration record was found, no record of R voting', 5.0: '5. No registration record found; no record of voting', 9.0: '9. 1976 non-Panel Rs'}
VCF9201  {-9.0: '-9. RF; NA; Inap, no post data', -8.0: '-8. DK', -7.0: "-7. Haven't heard of (2008,2012 only)", 0.0: '0. Strongly dislike', 10.0: '10. Strongly like'}
VCF9202  {-9.0: '-9. RF; NA; Inap, no post data', -8.0: '-8. DK', -7.0: "-7. Haven't heard of (2008,2012 only)", 0.0: '0. Strongly dislike', 10.0: '10. Strongly like'}
VCF9203  {-9.0: '-9. RF; NA; Inap, no post data', -8.0: '-8. DK', 1.0: '1. Yes', 2.0: '2. No'}
VCF9204  {-9.0: '-9. RF; NA; Inap, skip: no party represents views; no Post data', -8.0: '-8. DK', 1.0: '1. Democratic', 2.0: '2. Republican', 7.0: '7. Other {SPECIFY}'}
party_economy  {-9.0: '-9. RF; NA; Inap, no post data', -8.0: '-8. DK', 1.0: '1. Democrats', 2.0: '2. No difference', 3.0: '3. Republican', 7.0: '7. Neither party {VOL} (exc. 1996,2004)'}
VCF9206  {-9.0: '-9. RF; NA; Inap, no post data', -8.0: '-8. DK', 1.0: '1. One party control both', 2.0: '2. Control is split', 3.0: "3. It doesn't matter"}
like_Dem_presCandi  {-9.0: '-9. NA; Inap, no post data', -8.0: '-8. DK', -7.0: "-7. Haven't heard of (2008,2012 only)", 0.0: '0. Strongly dislike', 10.0: '10. Strongly like'}
like_Rep_preCandi  {-9.0: '-9. NA; Inap, no post data', -8.0: '-8. DK', -7.0: "-7. Haven't heard of (2008,2012 only)", 0.0: '0. Strongly dislike', 10.0: '10. Strongly like'}
VCF9209  {-9.0: '-9. RF; NA; Inap, half sample administration (2008)', -8.0: '-8. DK', 1.0: '1. Extremely well', 2.0: '2. Very well', 3.0: '3. Moderately well', 4.0: '4. Slightly well', 5.0: '5. Not well at all'}
VCF9210  {-9.0: '-9. RF; NA; Inap, half sample administration (2008)', -8.0: '-8. DK', 1.0: '1. Extremely well', 2.0: '2. Very well', 3.0: '3. Moderately well', 4.0: '4. Slightly well', 5.0: '5. Not well at all'}
VCF9211  {-9.0: '-9. RF; NA; Inap, half sample administration (2008)', -8.0: '-8. DK', 1.0: '1. Extremely well', 2.0: '2. Very well', 3.0: '3. Moderately well', 4.0: '4. Slightly well', 5.0: '5. Not well at all'}
VCF9212  {-9.0: '-9. RF; NA; Inap, half sample administration (2008)', -8.0: '-8. DK', 1.0: '1. Extremely well', 2.0: '2. Very well', 3.0: '3. Moderately well', 4.0: '4. Slightly well', 5.0: '5. Not well at all'}
VCF9213  {-9.0: '-9. RF; NA; Inap, half sample administration (2008)', -8.0: '-8. DK', 1.0: '1. Extremely well', 2.0: '2. Very well', 3.0: '3. Moderately well', 4.0: '4. Slightly well', 5.0: '5. Not well at all'}
VCF9214  {-9.0: '-9. RF; NA; Inap, half sample administration (2008)', -8.0: '-8. DK', 1.0: '1. Extremely well', 2.0: '2. Very well', 3.0: '3. Moderately well', 4.0: '4. Slightly well', 5.0: '5. Not well at all'}
VCF9215  {-9.0: '-9. RF; NA; Inap, half sample administration (2008)', -8.0: '-8. DK', 1.0: '1. Extremely well', 2.0: '2. Very well', 3.0: '3. Moderately well', 4.0: '4. Slightly well', 5.0: '5. Not well at all'}
VCF9216  {-9.0: '-9. RF; NA; Inap, half sample administration (2008)', -8.0: '-8. DK', 1.0: '1. Extremely well', 2.0: '2. Very well', 3.0: '3. Moderately well', 4.0: '4. Slightly well', 5.0: '5. Not well at all'}
approve_president_Foreign  {-9.0: '-9. RF; NA', -8.0: '-8. DK', 1.0: '1. Approve', 2.0: '2. Disapprove'}
approve_president_health  {-9.0: '-9. RF; NA', -8.0: '-8. DK', 1.0: '1. Approve', 2.0: '2. Disapprove'}
VCF9219  {-9.0: '-9. RF; NA; Inap, no post data; half sample administration (2000)', -8.0: '-8. DK', 1.0: '1. More secure', 2.0: '2. No change', 3.0: '3. Less secure'}
